reporting_entity,electricity_production_m_wh,total_scope_1_emissions_t_co2_e
DIF INFRA 4 HOLDINGS AUSTRALIA PTY LTD,32482,0
ENEL GREEN POWER AUSTRALIA PTY LTD,506001,0
ESSENTIAL ENERGY,0,0
FINLEY SOLAR HOLDINGS PTY LTD,287056,0
FS OAKEY 2 PTY LTD,108954,0
GENEX POWER LIMITED,223026,0
HUGHENDEN SOLAR FARM HOLDCO PTY LTD,34117,0
HYDRO POWER PTY. LIMITED,83532,0
KARADOC SOLAR FARM HOLDCO PTY LTD,182007,0
KIAMCO FORESIGHT HANWHA BARCALDINE 1 PTY LTD,32655,0
KIAMCO HANWHA FORESIGHT BANNERTON PTY LTD,149100,0
METKA EGN AUSTRALIA HOLDINGS PTY LTD,173382,0
OAKEY 1 NEW HOLDCO PTY LTD,49001,0
PS RENEWABLE ENERGY HOLDINGS PTY LTD,184778,0
QS MAPS HOLDINGS NO. 3 PTY LTD,66082,0
THE TRUSTEE FOR GUNNEDAH ASSET TRUST,180000,0
THE TRUSTEE FOR SUNTOP ASSET TRUST,299000,0
YATPOOL SOLAR FARM HOLDCO PTY LTD,153049,0
