year,size,kwh_km
2024,small, 0.1696682464454976
2024,medium, 0.19040284360189574
2024,large, 0.24372037914691946
2050,small, 0.15781990521327013
2050,medium, 0.17855450236966824
2050,large, 0.23661137440758295
