"ModelReleaseYear","Make","ModelReleaseVersion","Model","Variant","EngineDisplacement","EngineConfiguration","EngineInduction","FwdGearsNo","TransmissionTypeDescription","SideDoorNo","SeatingCapacity","BodyStyle","DrivingWheelsNo","FuelType","CO2EmissionsCombined","CO2EmissionsUrban","CO2EmissionsExtraUrban","FuelConsumptionCombined","FuelConsumptionUrban","FuelConsumptionExtraUrban","EnergyConsumptionWhkm","ElectricRangeKm","AirPollutionStandard","StationaryNoiseData","TestSpeed","IsCurrentModel","ModelEndYear","FuelLifeCycleCO2","AnnualTailpipeCO2","AnnualFuelCost"
"2025","Leapmotor","","C10","1100","1.5","4cyl","Normal","1","Auto","4","5","SUV","2","Plug-in Electric/Petrol 91RON","21","","","0.9","","","152","170","Euro 6","62","843","Yes","0","145","0.29","845"
"2022","Kia","2022","Niro","PHEV (16 Inch Wheels)","1.6","4cyl","N/A","6","Auto","4","5","SUV","2","Plug-in Electric/Petrol 91RON","23","","","1","","","167","59","Euro 6","70","3750","Yes","0","160","0.32","931"
"2022","Kia","2022","Niro","PHEV (18 Inch Wheels)","1.6","4cyl","N/A","6","Auto","4","5","SUV","2","Plug-in Electric/Petrol 91RON","23","","","1","","","167","59","Euro 6","70","3750","Yes","0","160","0.32","931"
"2021","Kia","2021","Niro","S","1.6","4cyl","N/A","6","Other","4","5","Wagon","2","Plug-in Electric/Petrol 91RON","29","","","1.3","","","98","58","Euro 5","81","3750","Yes","0","111","0.41","710"
"2021","Kia","2021","Niro","Sport","1.6","4cyl","N/A","6","Other","4","5","Wagon","2","Plug-in Electric/Petrol 91RON","29","","","1.3","","","98","58","Euro 5","81","3750","Yes","0","111","0.41","710"
"2024","Mitsubishi","24MY","Outlander PHEV","GSR","2.4","4cyl","Normal","1","Other","4","7","SUV","4","Plug-in Electric/Petrol 91RON","35","","","1.5","","","192","84","Euro 6","72","3750","Yes","0","192","0.49","1151"
"2023","Mitsubishi","24MY","Outlander PHEV","ES","2.4","4cyl","Normal","1","Other","4","5","SUV","4","Plug-in Electric/Petrol 91RON","35","","","1.5","","","192","84","Euro 6","72","3750","Yes","0","192","0.49","1151"
"2023","Mitsubishi","24MY","Outlander PHEV","ASPIRE","2.4","4cyl","Normal","1","Other","4","5","SUV","4","Plug-in Electric/Petrol 91RON","35","","","1.5","","","192","84","Euro 6","72","3750","Yes","0","192","0.49","1151"
"2023","Mitsubishi","24MY","Outlander PHEV","EXCEED","2.4","4cyl","Normal","1","Other","4","7","SUV","4","Plug-in Electric/Petrol 91RON","35","","","1.5","","","192","84","Euro 6","72","3750","Yes","0","192","0.49","1151"
"2023","Mitsubishi","24MY","Outlander PHEV","EXCEED TOURER","2.4","4cyl","Normal","1","Other","4","7","SUV","4","Plug-in Electric/Petrol 91RON","35","","","1.5","","","192","84","Euro 6","72","3750","Yes","0","192","0.49","1151"
"2022","Kia","","Sorento","GT-Line PHEV","1.6","4cyl","Turbo","6","Auto","4","7","Wagon","4","Plug-in Electric/Petrol 91RON","36","","","1.6","","","161","68","Euro 6","73","3750","Yes","0","170","0.5","1044"
"2024","Kia","2024","Sorento","GT-Line PHEV","1.6","4cyl","Turbo","6","Auto","4","7","Wagon","4","Plug-in Electric/Petrol 91RON","37","","","1.6","","","182","55","Euro 6","73","3750","Yes","0","187","0.52","1132"
"2025","GWM","","Cannon Alpha","2.0T PHEV 9HAT 4WD","2","4cyl","Turbo","9","Auto","4","5","Utility","4","Plug-in Electric/Petrol 91RON","39","","","1.7","","","303","115","Euro 5","85","3750","Yes","0","287","0.55","1663"
"2024","Mitsubishi","24MY","Eclipse Cross","ES PHEV","2.4","4cyl","Normal","1","Other","4","5","SUV","4","Plug-in Electric/Petrol 91RON","43","","","1.9","","","168","55","Euro 6","75","3375","Yes","0","183","0.6","1142"
"2024","Mitsubishi","24MY","Eclipse Cross","EXCEED PHEV","2.4","4cyl","Normal","1","Other","4","5","SUV","4","Plug-in Electric/Petrol 91RON","43","","","1.9","","","168","55","Euro 6","75","3375","Yes","0","183","0.6","1142"
"2024","Mitsubishi","24MY","Eclipse Cross","ASPIRE PHEV","2.4","4cyl","Normal","1","Other","4","5","SUV","4","Plug-in Electric/Petrol 91RON","43","","","1.9","","","168","55","Euro 6","75","3375","Yes","0","183","0.6","1142"
"2024","Mitsubishi","24MY","Eclipse Cross","XLS PHEV","2.4","4cyl","Normal","1","Other","4","5","SUV","4","Plug-in Electric/Petrol 91RON","43","","","1.9","","","168","55","Euro 6","75","3375","Yes","0","183","0.6","1142"
"2024","Mitsubishi","24MY","Eclipse Cross","GSR PHEV","2.4","4cyl","Normal","1","Other","4","5","SUV","4","Plug-in Electric/Petrol 91RON","43","","","1.9","","","168","55","Euro 6","75","3375","Yes","0","183","0.6","1142"
"2024","Mitsubishi","24MY","Eclipse Cross","XLS PLUS PHEV","2.4","4cyl","Normal","1","Other","4","5","SUV","4","Plug-in Electric/Petrol 91RON","43","","","1.9","","","168","55","Euro 6","75","3375","Yes","0","183","0.6","1142"
"2023","Mazda","","CX-60","PHEV","2.5","4cyl","Normal","8","Auto","4","5","SUV","4","Plug-in Electric/Petrol 91RON","49","","","2.1","","","148","76","Euro 5","74","3750","Yes","0","171","0.69","1104"
"2024","Mazda","","CX-80","","2.5","4cyl","Normal","8","Auto","4","7","SUV","4","Plug-in Electric/Petrol 91RON","64","","","2.7","","","198","65","Euro 5","74","3750","Yes","0","226","0.9","1452"
