"ModelReleaseYear","Make","ModelReleaseVersion","Model","Variant","EngineDisplacement","EngineConfiguration","EngineInduction","FwdGearsNo","TransmissionTypeDescription","SideDoorNo","SeatingCapacity","BodyStyle","DrivingWheelsNo","FuelType","CO2EmissionsCombined","CO2EmissionsUrban","CO2EmissionsExtraUrban","FuelConsumptionCombined","FuelConsumptionUrban","FuelConsumptionExtraUrban","EnergyConsumptionWhkm","ElectricRangeKm","AirPollutionStandard","StationaryNoiseData","TestSpeed","IsCurrentModel","ModelEndYear","FuelLifeCycleCO2","AnnualTailpipeCO2","AnnualFuelCost"
"2019","BMW","I01","i3","i3 REX 120 Ah","0.6","Electric","Normal","1","Other","4","4","Sedan","2","Plug-in Electric/Petrol 95RON","13","130","3","0.6","5.7","0.2","129","290","Euro 6","78","2800","Yes","0","119","0.18","693"
"2018","BMW","","I01","i3 REX 94 Ah","0.6","Electric","Normal","1","Other","4","4","Sedan","2","Plug-in Electric/Petrol 95RON","14","128","1","0.6","5.7","0.1","119","225","Euro 6","78","2800","Yes","0","111","0.2","651"
"2019","BMW","I01","i3","i3s REX 120 Ah","0.6","Electric","Normal","1","Other","4","4","Sedan","2","Plug-in Electric/Petrol 95RON","14","135","3","0.7","5.9","0.2","130","285","Euro 6","78","2800","Yes","0","122","0.2","722"
"2018","BMW","","I01","i3s REX 94 Ah","0.6","Electric","Normal","1","Other","4","4","Sedan","2","Plug-in Electric/Petrol 95RON","15","128","2","0.7","5.6","0.1","125","220","Euro 6","78","2800","Yes","0","118","0.21","701"
"2025","Haval","","H6 GT","PHEV","1.5","4cyl","Turbo","1","Auto","4","5","SUV","4","Plug-in Electric/Petrol 95RON","19","","","0.8","","","209","180","Euro 5","78","3750","Yes","0","189","0.27","1079"
"2024","BYD","SA3","SEALION 6","Dynamic","1.5","4cyl","Normal","1","Auto","4","5","Wagon","2","Plug-in Electric/Petrol 95RON","24","15","27","1.1","0.7","1.2","169","92","Euro 6","56","1780","Yes","0","164","0.34","987"
"2024","Lexus","","NX 450h+ (AWD)","","2.5","4cyl","Normal","1","CVT","4","5","Wagon","4","Plug-in Electric/Petrol 95RON","29","","","1.3","","","140","87","Euro 6","69","2500","Yes","0","145","0.41","916"
"2021","Lexus","","NX 450h+","","2.5","4cyl","Normal","1","CVT","4","5","Wagon","4","Plug-in Electric/Petrol 95RON","29","","","1.3","","","140","87","Euro 6","69","2500","Yes","0","145","0.41","916"
"2024","Volvo","","S60","T8 AWD","2","4cyl","Turbo","8","Auto","4","5","Sedan","4","Plug-in Electric/Petrol 95RON","32","","149","1.4","","6.5","186","90","Euro 6","70","3750","No","2025","185","0.45","1134"
"2024","BYD","SA3","SEALION 6","PREMIUM","1.5","4cyl","Turbo","1","Auto","4","5","Wagon","4","Plug-in Electric/Petrol 95RON","32","30","30","1.4","1.3","1.3","179","81","Euro 6","61","1805","Yes","0","179","0.45","1105"
"2020","Ford","MY22","Escape","ST-Line","2.5","4cyl","Normal","1","CVT","4","5","SUV","2","Plug-in Electric/Petrol 95RON","33","","","1.5","","","147","69","Euro 5","74","3500","Yes","0","156","0.46","995"
"2023","Peugeot","","308","GT Sport PHEV Hatch","1.6","4cyl","Turbo","8","Auto","4","5","Hatch","2","Plug-in Electric/Petrol 95RON","33","","","1.4","","","207","60","Euro 6","75","3750","Yes","0","202","0.46","1222"
"2023","Alfa Romeo","","Tonale","PHEV","1.3","4cyl","Turbo","6","Auto","4","5","SUV","4","Plug-in Electric/Petrol 95RON","33","","","1.5","","","241","61","Euro 6","74","3000","Yes","0","232","0.46","1390"
"2025","Mercedes-Benz","W206","C Class","C350e","2","4cyl","Turbo","9","Auto","4","5","Sedan","2","Plug-in Electric/Petrol 95RON","34","","","1.5","","","160","104","Euro 6","74","3325","Yes","0","166","0.48","1050"
"2021","Mercedes-Benz","177","A Class","A250e ","1.3","4cyl","Turbo","9","Auto","4","5","Hatch","2","Plug-in Electric/Petrol 95RON","34","","","1.6","","","162","73","Euro 6","81","3750","Yes","0","170","0.48","1084"
"2021","Mercedes-Benz","177","A Class","A250e ","1.3","4cyl","Turbo","9","Auto","4","5","Sedan","2","Plug-in Electric/Petrol 95RON","34","","","1.6","","","163","73","Euro 6","81","3750","Yes","0","171","0.48","1088"
"2023","Peugeot","","508","GT HYBRID FASTBACK","1.6","4cyl","Turbo","8","Auto","4","5","Sedan","2","Plug-in Electric/Petrol 95RON","34","","","1.5","","","213","55","Euro 6","75","3750","Yes","0","209","0.48","1273"
"2023","Peugeot","","508","GT HYBRID WAGON","1.6","4cyl","Turbo","8","Auto","4","5","Wagon","2","Plug-in Electric/Petrol 95RON","34","","","1.5","","","213","55","Euro 6","75","3750","Yes","0","209","0.48","1273"
"2023","Citroen","","C5X","Shine Hybrid","1.6","4cyl","Turbo","8","Auto","4","5","Wagon","2","Plug-in Electric/Petrol 95RON","35","","","1.5","","","190","60","Euro 6","77","3750","Yes","0","191","0.49","1176"
"2016","Audi","","A3 Sportback","e-tron 16 Inch Wheel","1.4","4cyl","Turbo","6","Auto","4","5","Hatch","2","Plug-in Electric/Petrol 95RON","35","","104","1.6","","4.6","124","49","Euro 6","78","3750","Yes","0","140","0.49","924"
"2021","Peugeot","","3008","GT SPORT HYBRID AWD","1.6","4cyl","Turbo","8","Auto","4","5","SUV","2","Plug-in Electric/Petrol 95RON","36","","","1.6","","","229","50","Euro 6","65","1850","Yes","0","225","0.5","1365"
"2022","Volvo","","XC60","T8 Recharge","2","4cyl","Turbo","8","Auto","4","5","SUV","4","Plug-in Electric/Petrol 95RON","37","","156","1.6","","6.8","262","81","Euro 6","72","3750","Yes","0","251","0.52","1504"
"2022","Land Rover","L461 23MY","L461 Range Rover L1","P440e","3","6cyl","Turbo","8","Auto","4","5","Wagon","4","Plug-in Electric/Petrol 95RON","37","","222","1.6","","9.8","256","125","Euro 5","79","3750","No","2025","246","0.52","1478"
"2022","Land Rover","L461 23MY","L461 Range Rover L1","P510e","3","6cyl","Turbo","8","Auto","4","5","Wagon","4","Plug-in Electric/Petrol 95RON","37","","222","1.6","","9.8","256","125","Euro 5","79","3750","No","2025","246","0.52","1478"
"2022","Land Rover","L461 Range Rover L1","Range Rover Sport","P440e","3","6cyl","Turbo","8","Auto","4","5","SUV","4","Plug-in Electric/Petrol 95RON","37","","222","1.6","","9.8","256","125","Euro 5","79","3750","Yes","0","246","0.52","1478"
"2022","Land Rover","L461 Range Rover L1","Range Rover Sport","P510e","3","6cyl","Turbo","8","Auto","4","5","SUV","4","Plug-in Electric/Petrol 95RON","37","","222","1.6","","9.8","256","125","Euro 5","79","3750","Yes","0","246","0.52","1478"
"2023","Land Rover","LK L460 23MY","Range Rover","P510e SWB 5 Seater","3","6cyl","Turbo","8","Auto","4","5","Wagon","4","Plug-in Electric/Petrol 95RON","37","","222","1.6","","9.8","256","125","Euro 5","80","3750","Yes","0","246","0.52","1478"
"2023","Land Rover","LK L460 23MY","Range Rover","P440e SWB 5 Seater","3","6cyl","Turbo","8","Auto","4","5","Wagon","4","Plug-in Electric/Petrol 95RON","37","","222","1.6","","9.8","256","125","Euro 5","80","3750","Yes","0","246","0.52","1478"
