"ModelReleaseYear","Make","ModelReleaseVersion","Model","Variant","EngineDisplacement","EngineConfiguration","EngineInduction","FwdGearsNo","TransmissionTypeDescription","SideDoorNo","SeatingCapacity","BodyStyle","DrivingWheelsNo","FuelType","CO2EmissionsCombined","CO2EmissionsUrban","CO2EmissionsExtraUrban","FuelConsumptionCombined","FuelConsumptionUrban","FuelConsumptionExtraUrban","EnergyConsumptionWhkm","ElectricRangeKm","AirPollutionStandard","StationaryNoiseData","TestSpeed","IsCurrentModel","ModelEndYear","FuelLifeCycleCO2","AnnualTailpipeCO2","AnnualFuelCost"
"2022","Land Rover","L460","Range Rover","P440e SWB 5 Seater","3","6cyl","Turbo","8","Auto","4","5","Wagon","4","Plug-in Electric/Petrol 95RON","37","","222","1.6","","9.8","256","125","Euro 5","80","3750","Yes","0","246","0.52","1478"
"2022","Land Rover","L460","Range Rover","P510e SWB 5 Seater","3","6cyl","Turbo","8","Auto","4","5","Wagon","4","Plug-in Electric/Petrol 95RON","37","","222","1.6","","9.8","256","125","Euro 5","80","3750","Yes","0","246","0.52","1478"
"2024","Land Rover","LK L460 24MY","Range Rover","P460e SWB 5 Seater","3","6cyl","Turbo","8","Auto","4","5","Wagon","4","Plug-in Electric/Petrol 95RON","38","","228","1.6","","9.8","254","126","Euro 5","77","3750","Yes","0","245","0.53","1470"
"2024","Land Rover","LK L460 24MY","Range Rover","P460e LWB 5 Seater","3","6cyl","Turbo","8","Auto","4","5","Wagon","4","Plug-in Electric/Petrol 95RON","38","","228","1.6","","9.8","254","126","Euro 5","77","3750","Yes","0","245","0.53","1470"
"2024","Land Rover","LK L460 25MY","Range Rover","P460e SWB 5 Seater","3","6cyl","Turbo","8","Auto","4","5","Wagon","4","Plug-in Electric/Petrol 95RON","38","","228","1.6","","9.8","254","126","Euro 5","77","3750","Yes","0","245","0.53","1470"
"2024","Land Rover","LK L460 25MY","Range Rover","P460e LWB 5 Seater","3","6cyl","Turbo","8","Auto","4","5","Wagon","4","Plug-in Electric/Petrol 95RON","38","","228","1.6","","9.8","254","126","Euro 5","77","3750","Yes","0","245","0.53","1470"
"2022","Land Rover","L461 24MY","L461 Range Rover L1","P460e","3","6cyl","Turbo","8","Auto","4","5","Wagon","4","Plug-in Electric/Petrol 95RON","38","","228","1.6","","9.8","254","126","Euro 5","79","3750","No","2025","245","0.53","1470"
"2022","Land Rover","L461 25MY","L461 Range Rover L1","P460e","3","6cyl","Turbo","8","Auto","4","5","Wagon","4","Plug-in Electric/Petrol 95RON","38","","228","1.6","","9.8","254","126","Euro 5","82","3750","No","2025","245","0.53","1470"
"2024","BMW","G45","X3","30e xDrive","2","4cyl","Turbo","8","Auto","4","5","Wagon","4","Plug-in Electric/Petrol 95RON","38","174","","1.6","7.6","","229","91","Euro 6","76","3750","Yes","0","225","0.53","1365"
"2021","MG","","HS","PHEV","1.5","4cyl","Turbo","6","Auto","4","5","SUV","2","Plug-in Electric/Petrol 95RON","39","","","1.7","","","192","63","Euro 5","74","3750","Yes","0","197","0.55","1235"
"2016","Audi","","A3 Sportback","e-tron 17 Inch Wheel","1.4","4cyl","Turbo","6","Auto","4","5","Hatch","2","Plug-in Electric/Petrol 95RON","39","","110","1.7","","4.7","128","47","Euro 6","78","3750","Yes","0","145","0.55","966"
"2024","Audi","","Q8","60 TFSIe quattro","3","6cyl","Turbo","8","Auto","4","5","SUV","4","Plug-in Electric/Petrol 95RON","40","","","1.8","","","314","74","Euro 6","74","3750","Yes","0","298","0.56","1772"
"2024","Audi","","Q8","60 TFSIe quattro","3","6cyl","Turbo","8","Auto","4","5","SUV","4","Plug-in Electric/Petrol 95RON","40","","","1.8","","","314","74","Euro 6","74","3750","Yes","0","298","0.56","1772"
"2022","Volvo","","XC90","T8 Recharge","2","4cyl","Turbo","8","Auto","4","7","SUV","4","Plug-in Electric/Petrol 95RON","40","","164","1.8","","7.2","267","77","Euro 6","71","3750","Yes","0","260","0.56","1575"
"2016","Audi","","A3 Sportback","e-tron 18 Inch Wheel","1.4","4cyl","Turbo","6","Auto","4","5","Hatch","2","Plug-in Electric/Petrol 95RON","41","","116","1.8","","4.9","134","46","Euro 6","78","3750","Yes","0","153","0.57","1016"
"2023","BMW","G05","X5","xDrive50e","3","6cyl","Turbo","8","Auto","4","5","Wagon","4","Plug-in Electric/Petrol 95RON","41","206","","1.9","9.1","","264","101","Euro 6","78","3750","Yes","0","260","0.57","1588"
"2023","Audi","","Q5","55 TFSIe quattro S-tronic","2","4cyl","Turbo","7","Auto","4","5","SUV","4","Plug-in Electric/Petrol 95RON","45","","","2","","","238","55","Euro 6","72","3750","Yes","0","242","0.63","1504"
"2023","Audi","","Q5 Sportback","55 TFSIe quattro S-tronic","2","4cyl","Turbo","7","Auto","4","5","SUV","4","Plug-in Electric/Petrol 95RON","45","","","2","","","238","55","Euro 6","72","3750","Yes","0","242","0.63","1504"
"2023","Audi","","Q5 Sportback","55 TFSIe quattro S-tronic 21 inch wheel","2","4cyl","Turbo","7","Auto","4","5","SUV","4","Plug-in Electric/Petrol 95RON","45","","","2","","","238","55","Euro 6","72","3750","Yes","0","242","0.63","1504"
"2023","Audi","","Q5 Sportback","55 TFSIe quattro S-tronic","2","4cyl","Turbo","7","Auto","4","5","SUV","4","Plug-in Electric/Petrol 95RON","45","","","2","","","238","55","Euro 6","72","3750","Yes","0","242","0.63","1504"
"2024","BYD","","SHARK 6","","1.5","4cyl","Turbo","1","Auto","4","5","Utility","4","Plug-in Electric/Petrol 95RON","46","","","2","","","212","100","Euro 5","62","1380","Yes","0","221","0.64","1394"
"2019","BMW","G11","7 Series","745e","2","4cyl","Turbo","8","Auto","4","5","Sedan","2","Plug-in Electric/Petrol 95RON","46","","179","2.4","","7.5","175","52","Euro 6","78","3750","Yes","0","200","0.64","1340"
"2024","Jeep","","Compass 4xe","Limited","1.3","4cyl","Turbo","6","Auto","4","5","SUV","4","Plug-in Electric/Petrol 95RON","47","","","2.1","","","166","47","Euro 6","71","3000","Yes","0","186","0.66","1226"
"2024","Jeep","","Compass 4xe","Summit","1.3","4cyl","Turbo","6","Auto","4","5","SUV","4","Plug-in Electric/Petrol 95RON","47","","","2.1","","","166","47","Euro 6","71","3000","Yes","0","186","0.66","1226"
"2022","Land Rover","L551","Range Rover Evoque","P300e Auto 230kW PHEV","1.5","3cyl","Turbo","9","Auto","4","5","Wagon","4","Plug-in Electric/Petrol 95RON","48","","176","2.1","","7.7","186","66","Euro 6","68","3750","Yes","0","202","0.67","1310"
"2022","Land Rover","LZ","Range Rover Evoque","P300e AWD Auto Electric Hybrid","1.5","3cyl","Turbo","9","Auto","4","5","SUV","4","Plug-in Electric/Petrol 95RON","48","","176","2.1","","7.7","186","66","Euro 5","68","3750","Yes","0","202","0.67","1310"
"2014","Land Rover","L550 24MY","LC","P300e AWD Auto Electric Hybrid 5 seats","1.5","3cyl","Turbo","9","Auto","4","7","Wagon","4","Plug-in Electric/Petrol 95RON","49","","177","2.1","","7.8","169","66","Euro 6","72","3750","Yes","0","188","0.69","1239"
"2014","BMW","","I08","i8","1.5","3cyl","Turbo","6","Auto","2","4","Coupe","2","Plug-in Electric/Petrol 95RON","49","121","","2.1","5.2","","119","37","Euro 5","99.00","3750","Yes","0","148","0.69","1029"
"2024","Jaguar","X761 25MY","F-Pace","P400e AWD Auto Electric Hybrid","2","4cyl","Turbo","8","Auto","4","5","SUV","4","Plug-in Electric/Petrol 95RON","51","","193","2.2","","8.3","238","69","Euro 5","75","3750","Yes","0","247","0.71","1554"
"2017","Land Rover","L560 24MY","LY","P400e Electric Hybrid","2","4cyl","Turbo","8","Auto","4","5","Wagon","4","Plug-in Electric/Petrol 95RON","51","","193","2.2","","8.3","238","69","Euro 5","77","3750","No","2025","247","0.71","1554"
"2021","Mercedes-Benz","253","GLC Class","GLC300e 4MATIC","2","4cyl","Turbo","9","Auto","4","5","Wagon","4","Plug-in Electric/Petrol 95RON","53","","","2.4","","","154","49","Euro 6","76","3750","Yes","0","183","0.74","1252"
"2020","BMW","G30","5 Series","530e","2","4cyl","Turbo","8","Auto","4","5","Sedan","2","Plug-in Electric/Petrol 95RON","53","166","","2.3","7.3","","176","54","Euro 6","83","3750","Yes","0","199","0.74","1319"
"2020","MINI","F60","Mini Cooper S E ALL4","Countryman","1.5","3cyl","Turbo","6","Auto","4","5","Wagon","4","Plug-in Electric/Petrol 95RON","54","158","","2.4","6.9","","152","50","Euro 6","81","3300","No","2025","182","0.76","1243"
"2021","Mercedes-Benz","213","E Class","E300e ","2","4cyl","Turbo","9","Auto","4","5","Sedan","2","Plug-in Electric/Petrol 95RON","56","","","2.5","","","180","48","Euro 6","74","3750","Yes","0","207","0.78","1386"
"2019","BMW","G05","X5","xDrive45e","3","6cyl","Turbo","8","Auto","4","5","SUV","4","Plug-in Electric/Petrol 95RON","56","229","","2.3","9.6","","257","80","Euro 6","80","3750","Yes","0","264","0.78","1659"
"2017","Porsche","G2","Panamera Tourismo","4 E-Hybrid","3","6cyl","Turbo","8","Auto","4","5","Wagon","4","Plug-in Electric/Petrol 95RON","59","","","2.6","","","159","51","Euro 6","88","3750","Yes","0","192","0.83","1323"
"2023","Audi","","Q8","60 TFSIe quattro Tiptronic 21 Inch Wheel","3","6cyl","Turbo","8","Auto","4","5","SUV","4","Plug-in Electric/Petrol 95RON","60","","","2.6","","","210","59","Euro 6","73","3750","Yes","0","234","0.84","1537"
"2023","Audi","","Q8","60 TFSIe quattro Tiptronic 22 Inch Wheel","3","6cyl","Turbo","8","Auto","4","5","SUV","4","Plug-in Electric/Petrol 95RON","61","","","2.7","","","211","59","Euro 6","73","3750","Yes","0","237","0.85","1567"
"2022","Land Rover","L560","Range Rover Velar","Velar P400e","2","4cyl","Turbo","8","Auto","4","5","SUV","4","Plug-in Electric/Petrol 95RON","62","","209","2.7","","9.2","193","59","Euro 5","78","3750","Yes","0","222","0.87","1491"
"2017","Land Rover","L560 23MY","LY","Velar P400e","2","4cyl","Turbo","8","Auto","4","5","Wagon","4","Plug-in Electric/Petrol 95RON","62","","209","2.7","","9.2","193","59","Euro 5","78","3750","No","2025","222","0.87","1491"
"2019","BMW","G01","X3","xDrive30e","2","4cyl","Turbo","8","Auto","4","5","Wagon","4","Plug-in Electric/Petrol 95RON","64","183","","2.8","8","","183","46","Euro 6","78","3750","Yes","0","217","0.9","1474"
"2025","Ford","25.00MY","Ranger","Double Cab PHEV XLT 4WD","2.3","4cyl","Turbo","10","Auto","4","5","Utility","4","Plug-in Electric/Petrol 95RON","66","","","2.9","","","187","49","Euro 6","76","3450","Yes","0","222","0.92","1516"
"2025","Ford","25.00MY","Ranger","Double Cab PHEV SPORT 4WD","2.3","4cyl","Turbo","10","Auto","4","5","Utility","4","Plug-in Electric/Petrol 95RON","66","","","2.9","","","187","49","Euro 6","76","3450","Yes","0","222","0.92","1516"
"2025","Ford","25.00MY","Ranger","Double Cab PHEV WILDTRAK 4WD","2.3","4cyl","Turbo","10","Auto","4","5","Utility","4","Plug-in Electric/Petrol 95RON","66","","","2.9","","","187","49","Euro 6","76","3450","Yes","0","222","0.92","1516"
"2025","Ford","25.00MY","Ranger","Double Cab PHEV STORMTRAK 4WD","2.3","4cyl","Turbo","10","Auto","4","5","Utility","4","Plug-in Electric/Petrol 95RON","66","","","2.9","","","187","49","Euro 6","76","3450","Yes","0","222","0.92","1516"
"2017","Porsche","G2","Panamera Tourismo","Turbo S E-Hybrid","4","8cyl","Turbo","8","Auto","4","4","Wagon","4","Plug-in Electric/Petrol 95RON","69","","","3","","","176","49","Euro 6","87","3750","Yes","0","216","0.97","1495"
"2017","Porsche","G2","Panamera Tourismo","Turbo S E-Hybrid","4","8cyl","Turbo","8","Auto","4","5","Wagon","4","Plug-in Electric/Petrol 95RON","69","","","3","","","176","49","Euro 6","87","3750","Yes","0","216","0.97","1495"
"2017","Porsche","G2","Panamera Tourismo","Turbo S E-Hybrid","4","8cyl","Turbo","8","Auto","4","5","Wagon","4","Plug-in Electric/Petrol 95RON","69","","","3","","","176","49","Euro 6","87","3750","Yes","0","216","0.97","1495"
"2023","Jeep","","Grand Cherokee","PHEV SUMMIT RESERVE 4WD","2","4cyl","Turbo","8","Auto","4","5","SUV","4","Plug-in Electric/Petrol 95RON","74","","","3.2","","","209","52","Euro 5","59","1275","Yes","0","247","1.04","1684"
"2018","Porsche","E3","Cayenne 3","Cayenne E-Hybrid","3","6cyl","Turbo","8","Auto","4","5","SUV","4","Plug-in Electric/Petrol 95RON","78","","","3.4","","","209","42","Euro 6","71","2850","Yes","0","252","1.09","1735"
"2024","Land Rover","L663 24MY","Defender LE","110 P400e Electric Hybrid AWD 5 seats","2","4cyl","Turbo","8","Auto","4","5","SUV","4","Plug-in Electric/Petrol 95RON","78","","241","3.4","","10.5","261","52","Euro 5","79","3750","No","2025","294","1.09","1953"
"2024","Land Rover","L663 24MY","Defender LE","110 P400e Electric Hybrid AWD 6 seats","2","4cyl","Turbo","8","Auto","4","6","SUV","4","Plug-in Electric/Petrol 95RON","78","","241","3.4","","10.5","261","52","Euro 5","79","3750","No","2025","294","1.09","1953"
"2024","Land Rover","L663 25MY","Defender LE","110 P400e Electric Hybrid AWD 5 seats","2","4cyl","Turbo","8","Auto","4","5","SUV","4","Plug-in Electric/Petrol 95RON","78","","241","3.4","","10.5","261","52","Euro 5","79","3750","No","2025","294","1.09","1953"
"2024","Land Rover","L663 25MY","Defender LE","110 P400e Electric Hybrid AWD 6 seats","2","4cyl","Turbo","8","Auto","4","6","SUV","4","Plug-in Electric/Petrol 95RON","78","","241","3.4","","10.5","261","52","Euro 5","79","3750","No","2025","294","1.09","1953"
"2023","Land Rover","L663 23MY","Defender LE","110 P400e Electric Hybrid AWD 5 seats","2","4cyl","Turbo","8","Auto","4","5","SUV","4","Plug-in Electric/Petrol 95RON","78","","241","3.4","","10.5","261","52","Euro 5","79","3750","No","2025","294","1.09","1953"
"2023","Land Rover","L663 23MY","Defender LE","110 P400e Electric Hybrid AWD 6 seats","2","4cyl","Turbo","8","Auto","4","6","SUV","4","Plug-in Electric/Petrol 95RON","78","","241","3.4","","10.5","261","52","Euro 5","79","3750","No","2025","294","1.09","1953"
"2022","Land Rover","Defender LE","L663 Defender 90/110/130","110 P400e Electric Hybrid AWD 5 seats","2","4cyl","Turbo","8","Auto","4","5","SUV","4","Plug-in Electric/Petrol 95RON","78","","241","3.4","","10.5","261","52","Euro 5","79","3750","Yes","0","294","1.09","1953"
"2022","Land Rover","Defender LE","L663 Defender 90/110/130","110 P400e Electric Hybrid AWD 6 seats","2","4cyl","Turbo","8","Auto","4","6","SUV","4","Plug-in Electric/Petrol 95RON","78","","241","3.4","","10.5","261","52","Euro 5","79","3750","Yes","0","294","1.09","1953"
